Time,Leader_ID,Follower_ID,Direction
3444,20,71,In
3547,20,106,In
3668,44,99,In
3692,20,14,In
3783,44,95,In
3823,20,77,In
3934,20,66,In
3966,44,114,In
3981,14,110,In
4029,34,101,In
4064,20,24,In
4087,57,92,In
4101,44,80,In
4143,14,47,In
4160,69,78,In
4193,57,2,In
4202,20,102,In
4220,34,91,In
4260,14,38,In
4353,69,0,In
4391,69,19,In
4408,66,115,In
4426,34,52,In
4484,15,107,In
4529,20,89,In
4589,34,7,In
4628,42,88,In
4659,20,49,In
4686,57,27,In
4722,83,84,In
4758,69,62,In
4786,20,6,In
4831,33,58,In
4838,34,43,In
4892,34,16,In
4961,15,104,In
4973,15,1,In
5026,57,68,In
5026,9,54,In
5033,33,90,In
5046,69,12,In
5169,26,21,In
5309,81,110,In
5314,34,11,In
5362,57,23,In
5393,20,86,In
5401,47,76,In
5423,69,94,In
5443,34,18,In
5504,34,39,In
5513,20,90,In
5518,69,55,In
5535,57,60,In
5641,21,56,In
5648,57,45,In
5650,62,48,In
5673,43,30,In
5701,20,10,In
5717,83,50,In
5729,69,102,In
5784,12,98,In
5819,14,22,In
5843,62,108,In
5870,43,3,In
6029,14,72,In
6043,83,112,In
6053,21,109,In
6067,15,59,In
6106,47,103,In
6157,14,64,In
6261,69,88,In
6618,14,51,In
6853,83,74,In
6873,47,31,In
6998,21,61,In
7046,64,18,In
7563,49,82,In
7596,34,105,In
7623,18,61,In
7885,14,35,In
8220,34,46,In
8543,49,25,In
