id,begin,end,cause,note,"note in cause, pre: pre-recording, post: post-recording, bla: blackout, rev: under the arena"
KC01,14811,15206,rev,,
KC02,19141,19202,bla,,
KC05,5572,5635,bla,,
KC06,0,6309,pre,,
KC07,7049,7111,bla,,
KC09,18340,18402,bla,,
KH02,33663,33723,bla,,
KH03,43183,43759,rev,,
KH04,12145,12618,rev,,
KH04,13171,13537,rev,,
KH04,28254,28691,rev,,
KH07,12566,12643,rev,,
KH08,6302,6367,bla,,
KH08,22757,22887,rev,,
KH09,4669,4734,bla,,
KH10,5086,5334,rev,,
KH10,13995,14241,rev,,
KN10,4590,4645,rev,,
KN11,2636,3193,rev,,
KN14,3680,4027,rev,,
KN15,662,923,rev,,
KN15,1314,1390,rev,,
KN16,7304,7493,rev,,
KN16,15188,16341,rev,,
KN16,24368,24435,bla,,
KN02,8618,8866,rev,,
KN04,8650,8858,rev,,
KN04,10794,11566,rev,,
KN04,15064,15356,rev,,
KN04,16142,16906,rev,,
KN04,33132,33828,rev,,
KN04,36090,36747,rev,,
KN05,1495,1642,rev,,
KN06,2707,2871,rev,,
KN06,11364,12900,rev,,
KN06,15495,15630,rev,,
KN06,21673,21735,bla,,
KN06,23963,24069,rev,,
KN07,13904,14241,rev,,
KN07,16257,16455,rev,,
KN07,16650,17417,rev,,
KN07,17963,18277,rev,,
KN07,18413,18664,rev,,
KN07,22474,28483,rev,,
KN07,32945,33009,bla,,
KN08,652,1157,rev,,
KN08,5697,5954,rev,,
KN09,593,781,rev,,
KN09,8166,8230,bla,,
KN01,17541,17940,rev,,
KN01,22466,22819,rev,,
KN01,44178,46215,rev,,
KN01,50016,50812,rev,,
NA10,2221,2284,bla,,
NA10,12835,13357,rev,,
NA01,6479,6645,rev,,
NA01,16615,16651,bla,,
NA06,829,1266,rev,,
NA07,10093,10366,rev,,
NA07,12938,13027,rev,,
